1,L,025허0001,2020-04-01,2020-04-03,제주공항,제주공항,100000,4,0,1,0
2,S,025허0002,2020-04-01,2020-04-03,제주공항,제주공항,120000,4,0,1,0
3,U,025허0003,2020-04-01,2020-04-03,제주공항,제주공항,170000,6,0,1,0
4,V,025허0004,2020-04-01,2020-04-03,제주공항,제주공항,200000,10,0,1,0
5,B,025허0005,2020-04-01,2020-04-03,제주공항,제주공항,500000,45,0,1,0
6,L,025허0006,2020-04-02,2020-04-04,제주공항,제주공항,90000,4,0,1,0
7,S,025허0007,2020-04-02,2020-04-04,제주공항,제주공항,120000,4,0,1,0
8,U,025허0007,2020-04-02,2020-04-04,제주공항,제주공항,150000,6,0,1,0
9,V,025허0009,2020-04-02,2020-04-04,제주공항,제주공항,200000,10,0,1,0
10,B,025허0010,2020-04-02,2020-04-04,제주공항,제주공항,500000,45,0,1,0
11,L,025허0011,2020-04-03,2020-04-05,제주공항,제주공항,90000,4,0,1,0
12,S,025허0012,2020-04-03,2020-04-05,제주공항,제주공항,120000,4,0,1,0
13,U,025허0013,2020-04-03,2020-04-05,제주공항,제주공항,150000,6,0,1,0
14,V,025허0014,2020-04-03,2020-04-05,제주공항,제주공항,200000,10,0,1,0
15,B,025허0015,2020-04-03,2020-04-05,제주공항,제주공항,500000,45,0,1,0
16,L,025허0001,2020-04-04,2020-04-06,제주공항,제주공항,100000,4,0,1,0
17,S,025허0002,2020-04-04,2020-04-06,제주공항,제주공항,120000,4,0,1,0
18,U,025허0003,2020-04-04,2020-04-06,제주공항,제주공항,170000,6,0,1,0
19,V,025허0004,2020-04-04,2020-04-06,제주공항,제주공항,200000,10,0,1,0
20,B,025허0005,2020-04-04,2020-04-06,제주공항,제주공항,500000,45,0,1,0
21,L,025허0006,2020-04-05,2020-04-07,제주공항,제주공항,100000,4,0,1,0
22,S,025허0007,2020-04-05,2020-04-07,제주공항,제주공항,120000,4,0,1,0
23,U,025허0008,2020-04-05,2020-04-07,제주공항,제주공항,170000,6,0,1,0
24,V,025허0009,2020-04-05,2020-04-07,제주공항,제주공항,200000,10,0,1,0
25,B,025허0010,2020-04-05,2020-04-07,제주공항,제주공항,500000,45,0,1,0
26,L,025허0011,2020-04-06,2020-04-08,제주공항,제주공항,90000,4,0,1,0
